Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      8.51     0.00      738     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>::_Iter_equals_val(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      8.51     0.00      738     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const> __gnu_cxx::__ops::__iter_equals_val<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      8.51     0.00      738     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.00      8.51     0.00      738     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > >(__gnu_cxx::__normal_iterator<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::regex_traits<char>::_RegexMask const*, std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> > > const&)
  0.00      8.51     0.00      738     0.00     0.00  std::ctype<char>::tolower(char*, char const*) const
  0.00      8.51     0.00      738     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::begin() const
  0.00      8.51     0.00      738     0.00     0.00  std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> >::end() const
  0.00      8.51     0.00      738     0.00     0.00  std::vector<std::__cxx11::regex_traits<char>::_RegexMask, std::allocator<std::__cxx11::regex_traits<char>::_RegexMask> >::begin() const
  0.00      8.51     0.00      738     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::__cxx11::regex_traits<char>::transform_primary<char const*>(char const*, char const*) const
  0.00      8.51     0.00      738     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::__cxx11::regex_traits<char>::transform<char*>(char*, char*) const
  0.00      8.51     0.00      738     0.00     0.00  void std::__copy_move<false, false, std::random_access_iterator_tag>::__assign_one<char, char const>(char*, char const*)
  0.00      8.51     0.00      738     0.00     0.00  char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char const, char>(char const*, char const*, char*)
  0.00      8.51     0.00      738     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned long)
  0.00      8.51     0.00      738     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char> const&)
  0.00      8.51     0.00      738     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(std::allocator<char> const&)
  0.00      8.51     0.00      738     0.00     0.00  std::__new_allocator<char>::deallocate(char*, unsigned long)
